Year of Case,Employer Name,Address,Street,City,State,Zip Code,Wages Owed,Number of Claimants on Case,USDOL?
2020,Elite Choice,"1967 McDonald Avneue, Brooklyn, NY, 11223",1967 McDonald Avneue,Brooklyn,NY,11223,$840.00,1,NO
2020,Manhattan Helicopter LLC,"6 East River, New York, NY, 10004",6 East River,New York,NY,10004,$840.00,1,NO
2024,Jaclyn Wahba,"2456 East 3rd Street, Brooklyn, NY, 11223",2456 East 3rd Street,Brooklyn,NY,11223,$840.00,,NO
2022,Medly Pharmacy,"31 Deberoise ST, Brooklyn, NY, 11206",31 Deberoise ST,Brooklyn,NY,11206,$840.00,,NO
2023,RNK Romero Construction,"8738 123rd Street, Jamaica, NY, 11418",8738 123rd Street,Jamaica,NY,11418,$840.00,,NO
2021,Haminge,"120-04 Rockaway Blvd, South Zone Park, NY, 11420",120-04 Rockaway Blvd,South Ozone Park,NY,11420,$832.00,1,NO
2022,Arepas Grill Restaurant Venezolano,"2119 Broadway, Astoria, NY, 11106",2119 Broadway,Astoria,NY,11106,$830.00,1,NO
2023,Cafe Tucum,"210 Patchen Avenue, Brooklyn, NY, 11233",210 Patchen Avenue,Brooklyn,NY,11233,$828.00,1,NO
2022,Gao's Crab & Kabob,"136-72 Roosevelt Avenue, Flushing, NY, 11354",136-72 Roosevelt Avenue,Flushing,NY,11354,$826.00,1,NO
2023,IOS Staffing Services,"501 Madison Avenue, New York, NY, 10022",501 Madison Avenue,New York,NY,10022,$820.00,,NO
2022,Beth Israel Medical Center,"1st Ave 16th St, New York, NY, 10003",1st Ave 16th St,New York,NY,10003,$818.00,1,NO
2021,Real Deal Department Store LLC,"926 Granville Payne Avenue, Brooklyn, NY, 11207",926 Granville Payne Avenue,Brooklyn,NY,11207,$814.00,1,NO
2021,Choices Womens Medical Center,"147 32 Jamaica Avenue, Jamaica, NY, 11435",147 32 Jamaica Avenue,Jamaica,NY,11435,$810.00,1,NO
2022,Sparkleening,"5314 16th Street, Brooklyn, NY, 11204",5314 16th Street,Brooklyn,NY,11204,$810.00,3,NO
2023,Jonathan Ashtor,"344 W 72nd St, New York, NY, 10023",344 W 72nd St,New York,NY,10023,$805.00,1,NO
2024,Books and Rattles Preschool,"63-08 69th Place, Middle Village, NY, 11379",63-08 69th Place,Middle Village,NY,11379,$805.00,,YES
2023,Nuhma Inflight Dining,"33-15 Greenpoint Ave, Long Island City, NY, 11101",33-15 Greenpoint Ave,Long Island City,NY,11101,$805.00,,NO
2021,Westech Security & Investigation Inc,"3040 East Tremont Ave, Bronx, NY, 10461",3040 East Tremont Ave,Bronx,NY,10461,$805.00,1,NO
2022,Simply Moving & Storage,"837 Washington Ave., Bronx, NY, 10451",837 Washington Ave.,Bronx,NY,10451,$803.00,1,NO
2022,Another Ride PR Inc.,"960 Close Avenue, Bronx, NY, 10473",960 Close Avenue,Bronx,NY,10473,$800.00,1,NO
2022,Bangla CDPAP Services Inc,"72-26 Broadway, Jackson Heights, NY, 11372",72-26 Broadway,Jackson Heights,NY,11372,$800.00,1,NO
2021,Chartior,"436 W Broadway Ave, New York, NY, 10012",436 W Broadway Ave,New York,NY,10012,$800.00,1,NO
2022,Irene Kakossian M.D. Kakossian Medical Woman Ca..,"110 East 40th Street, New York, NY, 10016",110 East 40th Street,New York,NY,10016,$800.00,1,NO
2023,Law Office of NG & Wasserman PLLC,"27 E Broadway, New York, NY, 10002",27 E Broadway,New York,NY,10002,$800.00,,NO
2020,Lukes LP,"47 Murram St, New York, NY, 10007",47 Murram St,New York,NY,10007,$800.00,1,NO
2024,Lead Security Group Inc,"2916 Fredrick Douglass, New York, NY, 10039",2916 Fredrick Douglass,New York,NY,10039,$800.00,,NO
2021,Midtown Comics Inc,"459 Lexington Ave 2nd Floor, New York, NY, 10017",459 Lexington Ave 2nd Floor,New York,NY,10017,$800.00,1,NO
2021,New Yorkers for Tali,"PO Box 557, New York, NY, 10034",PO Box 557,New York,NY,10034,$800.00,1,NO
2022,Total Medical NY PC,"93-24 Queens Blvd, Rego Park, NY, 11374",93-24 Queens Blvd,Rego Park,NY,11374,$800.00,1,NO
2022,Montefiore Hospital Center,"111 East 210th Street, Bronx, NY, 10467",111 East 210th Street,Bronx,NY,10467,$798.00,1,NO
2023,North Miznon,"161 West 72nd Steet, New York, NY, 10023",161 West 72nd Steet,New York,NY,10023,$798.00,,NO
2022,New York Doctor Urgent,"65 West 13th Street, New York, NY, 10011",65 West 13th Street,New York,NY,10011,$797.00,,NO
2022,Karibbean Krave,"65 Westchester Sq., Bronx, NY, 10461",65 Westchester Sq.,Bronx,NY,10461,$795.00,,NO
2020,SHINDA MANAGEMENT CORP,"221-10 JAMAICA AVE, QUEENS VILLAGE, NY, 11428",221-10 JAMAICA AVE,QUEENS VILLAGE,NY,11428,$790.00,2,NO
2020,The Restaurant,"506 9th Ave, New York, NY, 10018",506 9th Ave,New York,NY,10018,$790.00,2,NO
2024,7-Eleven and Sol Hana Inc,"246-15 Northern Blvd., Little Neck, NY, 11362",246-15 Northern Blvd.,Little Neck,NY,11362,$787.00,,NO
2020,Yardies Jerk,"198-18 Linden Blvd, Saint Albans, NY, 11412",198-18 Linden Blvd,St Albans,NY,11412,$786.00,,NO
2020,1st Class Care Services Inc.,"3915 Main Street, Flushing, NY, 11354",3915 Main Street,Flushing,NY,11354,$785.00,1,NO
2024,Major World Jeep,"4340 Northern Blvd, Long Island City, NY, 11101",4340 Northern Blvd,Long Island City,NY,11101,$784.00,,NO
2023,Martys V Burger,"134 East 27th Street, New York, NY, 10016",134 East 27th Street,New York,NY,10016,$782.00,,NO
2024,Ellsworth Luxor & Associates,"Attn: Alusine Jalloh, Bronx, NY, 10461",Attn: Alusine Jalloh,Bronx,NY,10461,$782.00,,NO
2021,All American Homecare Agency Inc.,"391 E 149th Street, Bronx, NY, 10455",391 E 149th Street,Bronx,NY,10455,$780.00,1,NO
2022,Cafe La Notte,"2023 Stillwell Avenue, Brooklyn, NY, 11223",2023 Stillwell Avenue,Brooklyn,NY,11223,$780.00,1,NO
2023,Crosta Pizzeria,"486 6th Ave, Brooklyn, NY, 11215",486 6th Ave,Brooklyn,NY,11215,$780.00,1,NO
2023,Ines Bakery,"948 4th Avenue, Brooklyn, NY, 11232",948 4th Avenue,Brooklyn,NY,11232,$780.00,1,NO
2024,La Tamaleria Colombiana,"32-23 Junction Blvd., East Elmhurst, NY, 11369 Lexington Avenue, New York, NY, 10017",32-23 Junction Blvd.,East Elmhurst,NY,11369,$780.00,,NO
2021,EDCO Supply Corporation,"323 36th Street, Brooklyn, NY, 11232",323 36th Street,Brooklyn,NY,11232,$775.00,1,NO
2022,Hundred Stories LLC,"122 East 55th Street, New York, NY, 10022",122 East 55th Street,New York,NY,10022,$775.00,1,NO
2022,Impulse Beauty Salon LLC,"92-22 Guy R Brewer Blvd, Jamaica, NY, 11433",92-22 Guy R Brewer Blvd,Jamaica,NY,11433,$775.00,1,NO
2024,Edison Home Care,"946 McDonald Avenue, Brooklyn, NY, 11208",946 McDonald Avenue,Brooklyn,NY,11208,$774.00,,NO
2023,Harvard Protection Services,"59 Maiden Lane, New York, NY, 10038",59 Maiden Lane,New York,NY,10038,$772.00,1,NO
2020,Sauti Yetu Center for African Women,"2417 3rd Avenue, Bronx, NY, 10451",2417 3rd Avenue,Bronx,NY,10451,$772.00,2,NO
2022,Neapolitan Express,"21-17 37th Ave., Long Island City, NY, 11101",21-17 37th Ave.,Long Island City,NY,11101,$771.00,1,NO
2020,Gender Bias Inc,"307 W 38th Street, New York, NY, 10018",307 W 38th Street,New York,NY,10018,$770.00,1,NO
2021,"Allan S. Joseph PLLC, Certified Public Accountants","5 Hanover Sq, New York, NY, 10004",5 Hanover Sq,New York,NY,10004,$769.00,1,NO
2023,The Training Lab,"54 West 39th Street, New York, NY, 10018",54 West 39th Street,New York,NY,10018,$769.00,,NO
2022,Jeff Rojas,"2533 Mcintosh St, East Elmhurst, NY, 11369 Lexington Avenue, New York, NY, 10017",2533 Mcintosh St,East Elmhurst,NY,11369,$768.00,,NO
2024,General Maintenance Group LLC,"133 22nd St, Brooklyn, NY, 11232",133 22nd St,Brooklyn,NY,11232,$768.00,,NO
2022,Park Right,"670 West 43rd Street, New York, NY, 10036",670 West 43rd Street,New York,NY,10036,$768.00,1,NO
2020,Progressive Radio Network,"35 West 35th St, New York, NY, 10001",35 West 35th St,New York,NY,10001,$768.00,1,NO
2023,Refuah Medical Inc,"127 27th STreet, Brooklyn, NY, 11232",127 27th STreet,Brooklyn,NY,11232,$768.00,1,NO
2021,All American Home Healthcare Agency,"1 W 34th St, New York, NY, 10001",1 W 34th St,New York,NY,10001,$765.00,1,NO
2023,Co-Op City Tire Supply,"3525 Conner St., Bronx, NY, 10475",3525 Conner St.,Bronx,NY,10475,$763.00,,NO
2023,Starbucks,"5917 Junction Blvd, Queens, NY, 11373",5917 Junction Blvd,Queens,NY,11373,$762.00,,NO
2020,Alan J Dayan MD PC,"1715 Avenue T, Brooklyn, NY, 11229",1715 Avenue T,Brooklyn,NY,11229,$760.00,1,NO
2020,Bensonhurst Veterinary Care,"7424 20th Avenue, Brooklyn, NY, 11204",7424 20th Avenue,Brooklyn,NY,11204,$760.00,1,NO
2022,Legacy Manufacturing LLC,"415 Concord Avenue, Bronx, NY, 10455",415 Concord Avenue,Bronx,NY,10455,$760.00,1,NO
2024,Advantage Care Physicians,"1050 Clove Road, Staten Island, NY, 10301",1050 Clove Road,Staten Island,NY,10301,$760.00,,NO
2021,White Glove Placement,"89 Bartlett st, Brooklyn, NY, 11206",89 Bartlett st,Brooklyn,NY,11206,$756.00,1,NO
2023,Allied Universal Security Services,"33-10 Queens Boulevard, Long Island, NY, 11001",33-10 Queens Boulevard,Long Island,NY,11001,$753.00,1,NO
2020,Astoria Animal Hospital,"30-80 Stienway Street, Astoria, NY, 11103",30-80 Stienway Street,Astoria,NY,11103,$751.00,1,NO
2022,Aqua Catering Corp T/A Frame Gourmet Eatery,"552 7th Avenue, New York, NY, 10018",552 7th Avenue,New York,NY,10018,$750.00,1,NO
2022,Ingapirca Construction,"103-18 35th Ave, Corona, NY, 11368",103-18 35th Ave,Corona,NY,11368,$750.00,2,NO
2023,Julio Ruben Villalba AKA Ruben,"2843 Heath Avenue, Bronx, NY, 10463",2843 Heath Avenue,Bronx,NY,10463,$750.00,2,NO
2020,Magnolia Bakery,"1240 6th Avenue, New York, NY, 10020",1240 6th Avenue,New York,NY,10020,$750.00,1,NO
2021,Mayweather Boxing and Fitness,"200 West 41 Street, New York, NY, 10036",200 West 41 Street,New York,NY,10036,$750.00,1,NO
2022,MoCADA,"80 Hansen Place, Brooklyn, NY, 11217",80 Hansen Place,Brooklyn,NY,11217,$750.00,1,NO
2024,Burger King,"2655 Richmond Avenue, Staten Island, NY, 10314",2655 Richmond Avenue,Staten Island,NY,10314,$750.00,,NO
2023,Showtime Pictures Empire LLC,"350 5th Avenue, New York, NY, 10118",350 5th Avenue,New York,NY,10118,$750.00,1,YES
2023,Zip Aviation & Manhattan Helicopters,"6 East River Piers, New York, NY, 10004",6 East River Piers,New York,NY,10004,$750.00,,NO
2023,JNJ Home Health Care Inc,"326 Livingston Street, Brooklyn, NY, 11217",326 Livingston Street,Brooklyn,NY,11217,$745.00,1,NO
2020,American International Security,"101 Tyrellan Ave, Staten Island, NY, 10309",101 Tyrellan Ave,Staten Island,NY,10309,$743.00,1,NO
2023,Barker Consulting,"31 West 34th Street, New York, NY, 10001",31 West 34th Street,New York,NY,10001,$743.00,,NO
2023,Chipotle,"4240 Broadway, New York, ny, 10033",4240 Broadway,New York,ny,10033,$743.00,42,NO
2022,Crowne Plaza HY36 Midtown Manhattan,"320 W. 36th Street, New York, NY, 10018",320 W. 36th Street,New York,NY,10018,$741.00,1,NO
2023,Brasier Restaurant and Lounge,"472 W 202nd Street, New York, NY, 10034",472 W 202nd Street,New York,NY,10034,$740.00,,YES
2023,Three Decker Diner,"695 Manhattan Ave, Brooklyn, NY, 11222",695 Manhattan Ave,Brooklyn,NY,11222,$740.00,,NO
2021,Centers Health Care - Centers Business Office,"4770 White Plains Rd, Bronx, NY, 10470",4770 White Plains Rd,Bronx,NY,10470,$738.00,1,NO
2024,CVS Store No 2168,"1 Columbus Pl, New York, NY, 10019",1 Columbus Pl,New York,NY,10019,$738.00,,NO
2020,Epic Security Corp,"2067 Broadway, New York, NY, 10023",2067 Broadway,New York,NY,10023,$737.00,2,NO
2023,Captain Mikes Seafood Restaurant,"126 Chambers Street, New York, NY, 10007",126 Chambers Street,New York,NY,10007,$734.00,1,NO
2023,"Flat Rate Movers, LTD. T/A FlatRate Moving","536 Broadway, New York, NY, 10010",536 Broadway,New York,NY,10010,$734.00,,NO
2023,Archats LLC,"215 Lenox Rd., Brooklyn, NY, 11226",215 Lenox Rd.,Brooklyn,NY,11226,$732.00,2,NO
2022,Ryer Avenue Housing Development Fund,"2386 Ryer Avenue, Bronx, NY, 10458",2386 Ryer Avenue,Bronx,NY,10458,$729.00,1,NO
2020,The Bean at Cooper Union LLC & Astor Coffee LLC ..,"31 3rd Ave, New York, NY, 10003",31 3rd Ave,New York,NY,10003,$728.00,6,NO
2022,Zeno Nail Bar,"119 Ludlow Street, New York, NY, 10002",119 Ludlow Street,New York,NY,10002,$727.00,,NO
2022,Eva Homecare Agency Inc,"104-70 Queens Blvd, Forest Hills, NY, 11375",104-70 Queens Blvd,Forest Hills,NY,11375,$725.00,6,NO
2021,Angelos on the Bay Inc,"2902 Emmous Ave, Brooklyn, NY, 11235",2902 Emmous Ave,Brooklyn,NY,11235,$721.00,1,NO
2022,Bella Ciao Local 92 Coffee and Grain and Restaurant,"145 Mulberry Street, New York, NY, 10013",145 Mulberry Street,New York,NY,10013,$721.00,1,NO
2023,American Pro Restoration,"36-52 34th Street, Astoria, NY, 11106",36-52 34th Street,Astoria,NY,11106,$720.00,1,NO
2023,Bagel & Panini Co LLC,"900 Hylan Blvd., Staten Island, NY, 10305",900 Hylan Blvd.,Staten Island,NY,10305,$720.00,1,NO
2023,Bailey Apparel Inc,"242 West 38th St, New York, NY, 10018",242 West 38th St,New York,NY,10018,$720.00,1,NO
2020,Caring Professionals Inc.,"70-20 Austin Street, Forest Hills, NY, 11375",70-20 Austin Street,Forest Hills,NY,11375,$720.00,2,NO
2020,Danice Store,"845 White Plains Rd, Bronx, NY, 10473",845 White Plains Rd,Bronx,NY,10473,$720.00,1,NO
2020,G4S Secure Solutions,"60 E. 42nd Street, New York, NY, 10165",60 E. 42nd Street,New York,NY,10165,$720.00,1,NO
2023,Liquor Wine Warehouse,"113-19 Beach Channel Drive, Rockaway Park, NY, 11694",113-19 Beach Channel Drive,Rockaway Park,NY,11694,$720.00,,NO
2024,Big Minds Tiny Hands,"8810 Ave J, Brooklyn, NY, 11236",8810 Ave J,Brooklyn,NY,11236,$720.00,,NO
2020,Pier 18,"4904 18th Avenue, Brooklyn, NY, 11204",4904 18th Avenue,Brooklyn,NY,11204,$720.00,1,NO
2023,Unlimited Stone Works,"33-53 10th Street, Queens, NY, 11106",33-53 10th Street,Queens,NY,11106,$720.00,1,NO
2021,Winway Development LLC,"316 Ramona Avenue, Staten Island, NY, 10312",316 Ramona Avenue,Staten Island,NY,10312,$720.00,1,NO
2022,Wondershape,"4201 Avenue U, Brooklyn, NY, 11234",4201 Avenue U,Brooklyn,NY,11234,$720.00,1,NO
2023,Golden Artist Colors,"188 Bell Road, New York, NY, 13411",188 Bell Road,New York,NY,13411,$718.00,1,NO
2021,Konditori Espresso Bar,"687 Manhattan Avenue, Brooklyn, NY, 11222",687 Manhattan Avenue,Brooklyn,NY,11222,$718.00,1,NO
2023,QC NY LLC,"100 Wall Street, New York, NY, 10005",100 Wall Street,New York,NY,10005,$718.00,1,NO
2022,YMY LLC Grand Concourse Estate,"P.O. Box 100818, Brooklyn, NY, 11210",P.O. Box 100818,Brooklyn,NY,11210,$718.00,,NO
2023,Chipotle Empire State Relo - 3641,"350 Fifth Avenue, New York, ny, 10118",350 Fifth Avenue,New York,ny,10118,$716.00,27,NO
2023,International Refugee Assistance Project,"One Battery Park Plaza, New York, NY, 10004",One Battery Park Plaza,New York,NY,10004,$716.00,,NO
2022,Yang Gang Gao and Juan Fang Ma,"131-59 Fowler Avenue, Flushing, NY, 11344",131-59 Fowler Avenue,Flushing,NY,11344,$715.00,,NO
2022,Maison Ullens,"727 Madison Ave., New York, NY, 10065",727 Madison Ave.,New York,NY,10065,$714.00,1,NO
2021,Papa John's,"8953 Francis Lewis Boulevard, Queens Village, NY, 11427",8953 Francis Lewis Boulevard,Queens Village,NY,11427,$711.00,,NO
2023,All In Cafe / All In Brooklyn,"Attn: Steve Baturov, Brooklyn, NY, 11235",Attn: Steve Baturov,Brooklyn,NY,11235,$710.00,,NO
2021,"MSG Entertainment Group, LLC","2 Penn Plaza, Suite 16, New York, NY, 10121",2 Penn Plaza  Suite 16,New York,NY,10121,$705.00,,NO
2021,Nursing Personal Home Care,"175 South 9th Street, Brooklyn, NY, 11211",175 South 9th Street,Brooklyn,NY,11211,$705.00,1,NO
2023,Gentle Dental 92,"544 92nd Street, Brooklyn, NY, 11209",544 92nd Street,Brooklyn,NY,11209,$704.00,1,NO
2022,Agave Restaurant,"2236 31st Street, Astoria, NY, 11105",2236 31st Street,Astoria,NY,11105,$702.00,1,NO
2021,New Generation,"31-89 Fulton St, Brooklyn, NY, 11208",31-89 Fulton St,Brooklyn,NY,11208,$702.00,1,NO
2020,560-568 Audubon Realty LLC,"377 5th Avenue, New York, NY, 10016",377 5th Avenue,New York,NY,10016,$700.00,1,NO
2022,Chillin Restaurant and Bar / Chillgrin Corp.,"1261 St. Nicholas Ave., New York, NY, 10032",1261 St. Nicholas Ave.,New York,NY,10032,$700.00,2,NO
2021,Elite Choice,"1967 McDonald Avenue, Brooklyn, NY, 11223",1967 McDonald Avenue,Brooklyn,NY,11223,$700.00,1,NO
2021,L A M Care Inc,"1120 Avenue of the Americas, New York, NY, 10036",1120 Avenue of the Americas,New York,NY,10036,$700.00,1,NO
2022,Premier Ford of Bay Ridge,"612 86th Street, Brooklyn, NY, 11228",612 86th Street,Brooklyn,NY,11228,$700.00,1,NO
2023,RTBB Constructions,"1309 Foster Avenue, Brooklyn, NY, 11230",1309 Foster Avenue,Brooklyn,NY,11230,$700.00,1,NO
2020,Specialty Infusion,"175 E. 96th Street, New York, NY, 10128",175 E. 96th Street,New York,NY,10128,$700.00,2,NO
2021,The Battiloro Law Group,"185 Montague Street, Brooklyn, NY, 11201",185 Montague Street,Brooklyn,NY,11201,$700.00,1,NO
2021,Safe and Prudent,"407 Broadway, Lawrence, NY, 11372",407 Broadway,Lawrence,NY,11372,$697.00,1,NO
2022,Yinova,"37 W 17th Street, New York, NY, 10010",37 W 17th Street,New York,NY,10010,$697.00,1,NO
2024,Cano Coffee Company,"44-16 Broadway, Astoria, NY, 11103",44-16 Broadway,Astoria,NY,11103,$695.00,,NO
2020,Basilic Restaurant,"1712 1st Avenue, New York, NY, 10028",1712 1st Avenue,New York,NY,10028,$694.00,2,NO
2022,The Salvation Army,"536 West 46th Street, New York, NY, 10036",536 West 46th Street,New York,NY,10036,$690.00,1,NO
2020,SELFHELP COMMUNITY SERVICES,"520 EIGHTH AVE, NEW YORK, NY, 10018",520 EIGHTH AVE,NEW YORK,NY,10018,$685.00,2,NO
2023,AJ Squared Security,"110-20 Jamaica Avenue, Richmond Hill, NY, 11418",110-20 Jamaica Avenue,Richmond Hill,NY,11418,$681.00,1,NO
2020,Kenco Retail Shops,"25-15 Broadway, Astoria, NY, 11106",25-15 Broadway,Astoria,NY,11106,$680.00,1,NO
2023,Legends Limousine,"209 25 Street, Brooklyn, NY, 11232",209 25 Street,Brooklyn,NY,11232,$680.00,,NO
2023,Rudin Management Inc,"345 Park Avenue, New York, NY, 10154",345 Park Avenue,New York,NY,10154,$678.00,,NO
2023,Lotus Lounge & Grill,"66-48 Myrtle Avenue, Glendale, NY, 11385",66-48 Myrtle Avenue,Glendale,NY,11385,$675.00,1,NO
2024,Sahara Turkish Grill,"530 Neptune Avenue, Brooklyn, NY, 11224",530 Neptune Avenue,Brooklyn,NY,11224,$675.00,,NO
2020,Riverdale Kenshikai Karate,"3607 Fieldston Road, Bronx, NY, 10463",3607 Fieldston Road,Bronx,NY,10463,$674.00,1,NO
2021,Brooklyn Tots Academy,"2211 Coney Island Ave, Brooklyn, NY, 11223",2211 Coney Island Ave,Brooklyn,NY,11223,$672.00,1,NO
2021,CEC Steel LLC,"776 Sixth Ave, New York, NY, 10001",776 Sixth Ave,New York,NY,10001,$672.00,1,NO
2021,MWJ LLC,"45-17 28th Avenue, Astoria, NY, 11103",45-17 28th Avenue,Astoria,NY,11103,$672.00,2,NO
2020,"Catholic Charities of Staten Island, Inc.","6581 Hylan Blvd., Staten Island, NY, 10309",6581 Hylan Blvd.,Staten Island,NY,10309,$671.00,1,NO
2021,Harvard Maintenance,"59 Maiden Lane, New York, NY, 10038",59 Maiden Lane,New York,NY,10038,$671.00,1,NO
2023,65 Broadway Dental,"65 Broadway, New York, NY, 10006",65 Broadway,New York,NY,10006,$668.00,,NO
2021,Epic Security Corp.,"2067 Broadway, New York, NY, 10023",2067 Broadway,New York,NY,10023,$668.00,1,NO
2023,Sugaring NYC Kings Highway,"1419 Kings Highway, Brooklyn, NY, 11229",1419 Kings Highway,Brooklyn,NY,11229,$668.00,1,NO
2021,New Generation Cleaning Services Corp,"3295 Fulton St, Brooklyn, NY, 12208",3295 Fulton St,Brooklyn,NY,12208,$667.00,1,NO
2022,USA Management,"28-24 Steinway ST, Astoria, NY, 11103",28-24 Steinway ST,Astoria,NY,11103,$667.00,1,NO
2022,Hedge Stone LLC,"36 West 37th Street, New York, NY, 10018",36 West 37th Street,New York,NY,10018,$666.00,1,NO
2022,Honey Brains,"916 8th Ave, New York, NY, 10019",916 8th Ave,New York,NY,10019,$661.00,1,NO
2021,Clear Face Laser Clinic,"208-01 Northen Blvd, Bayside, NY, 11361",208-01 Northen Blvd,Bayside,NY,11361,$660.00,1,NO
2023,Columbus Circle Veterinary Hospital,"2 Columbus Avenue, New York, NY, 10023",2 Columbus Avenue,New York,NY,10023,$660.00,1,NO
2021,World's Wurst,"130 West Houston Street, New York, NY, 10012",130 West Houston Street,New York,NY,10012,$658.00,,NO
2021,Dennelisse Corporation,"460 Hills Ave, Bronx, NY, 10455",460 Hills Ave,Bronx,NY,10455,$657.00,1,NO
2022,Ozanam Hall of Queens Nursing Home,"42-41 201st St, Bayside, NY, 11361",42-41 201st St,Bayside,NY,11361,$657.00,1,NO
2023,Tara Lipton,"255 E. 74th St, New York, NY, 10021",255 E. 74th St,New York,NY,10021,$657.00,1,NO
2021,Lichter Dental,"1420 Avenue P, Brooklyn, NY, 11229",1420 Avenue P,Brooklyn,NY,11229,$655.00,1,NO
2022,Morelly Logistics Inc,"12595 Flatlands Avenue, Brookyln, NY, 11208",12595 Flatlands Avenue,Brooklyn,NY,11208,$651.00,1,NO
2021,Steep Advantage Services,"133-26 224th Street, Laurelton, NY, 11413",133-26 224th Street,Laurelton,NY,11413,$650.00,1,NO
2020,La Sala by Tu Casa,"116-35 Metropolitan Ave, Richmond Hills, NY, 11418",116-35 Metropolitan Ave,Richmond Hill,NY,11418,$647.00,2,NO
2022,DH2 Limo Worldwide Inc.,"149-35 177th Street, Jamaica, NY, 11434",149-35 177th Street,Jamaica,NY,11434,$646.00,1,NO
2022,Kaos Kapital Co,"63 Flushing Ave, Brooklyn, NY, 11205",63 Flushing Ave,Brooklyn,NY,11205,$646.00,1,NO
2020,"Paul J Cooper Center for Human Services, Inc.","510 Gates Ave, Brooklyn, NY, 11216",510 Gates Ave,Brooklyn,NY,11216,$645.00,2,NO
2024,Inwood Coffee Inc. T/A Kuro Kirin Espresso and Coff..,"4795 Broadway, New York, NY, 10034",4795 Broadway,New York,NY,10034,$644.00,,NO
2022,Lockwood Williamsburg 485 Corp,"32-15 33rd Street, Astoria, NY, 11106",32-15 33rd Street,Astoria,NY,11106,$640.00,1,NO
2021,MA Home Improvement,"172-16 Grand Central Pkwy, Jamaica, NY, 11432",172-16 Grand Central Pkwy,Jamaica,NY,11432,$640.00,1,NO
2023,Winston Staffing,"122 East 42nd Street, New York, NY, 10168",122 East 42nd Street,New York,NY,10168,$638.00,2,NO
2020,Perfect Posture Pilates,"2308 30th Avenue, Astoria, NY, 11102",2308 30th Avenue,Astoria,NY,11102,$637.00,1,NO
2021,Ben's Kosher Deli,"209 West 38th Street, New York, NY, 10018",209 West 38th Street,New York,NY,10018,$634.00,1,NO
2023,World Class Security Service Holding,"155 Waters, Brooklyn, NY, 11201",155 Waters,Brooklyn,NY,11201,$632.00,1,NO
2021,Custom Protective Services,"355 Lexington Ave, New York, NY, 10017",355 Lexington Ave,New York,NY,10017,$630.00,1,YES
2020,S and S Plumbing Corp,"3110 37th Avenue, Long Island City, NY, 11101",3110 37th Avenue,Long Island City,NY,11101,$630.00,1,NO
2022,Urban Playground Inc,"115 Broadway, New York, NY, 10008",115 Broadway,New York,NY,10008,$630.00,1,NO
2023,Baba Cool Williamsburg,"47 Withers Street, Brooklyn, NY, 11211",47 Withers Street,Brooklyn,NY,11211,$626.00,,NO
2022,Homecoming,"107 Franklin St, Brooklyn, NY, 11222",107 Franklin St,Brooklyn,NY,11222,$626.00,1,NO
2022,Abuela's Empanadas,"107-10 70th Rd, Forest Hills, NY, 11375",107-10 70th Rd,Forest Hills,NY,11375,$624.00,,NO
2022,Advantage Home Care,"1424 Sheepshead Bay Road, Brooklyn, NY, 11235",1424 Sheepshead Bay Road,Brooklyn,NY,11235,$623.00,1,NO
2021,Amazing Lash Studio,"162-38 Cross Bay Blvd, Queens, NY, 11414",162-38 Cross Bay Blvd,Queens,NY,11414,$623.00,3,NO
2021,John Allans,"62 Laight Street, New York, NY, 10013",62 Laight Street,New York,NY,10013,$623.00,1,NO
2022,Astro Gallery of Gems,"417 5th Ave, New York, NY, 10016",417 5th Ave,New York,NY,10016,$620.00,1,NO
2023,Motivate LLC/Citibike,"353 West Street, New York, NY, 10014",353 West Street,New York,NY,10014,$619.00,1,NO
2020,Tree House Pediatric & Adult Dentistry,"146 West 83rd Street, New York, NY, 10024",146 West 83rd Street,New York,NY,10024,$618.00,1,NO
2021,SMstitches,"335 Ave U, Brooklyn, NY, 11230",335 Ave U,Brooklyn,NY,11230,$616.00,1,NO
2022,AMG School of Nursing,"110 Bridge Street, Brooklyn, NY, 11201",110 Bridge Street,Brooklyn,NY,11201,$615.00,1,NO
2022,"Everyday Gourmet Deli, Inc","369 Lexington Avenue, New York, NY, 10017",369 Lexington Avenue,New York,NY,10017,$615.00,,NO
2022,Star Environmental Cleaning Services,"Po Box 340-409, Brooklyn, NY, 11234",Po Box 340-409,Brooklyn,NY,11234,$615.00,1,NO
2024,Krafty Hands Bellerose,"25173 Jericho Turnpike, Bellerose, NY, 11426",25173 Jericho Turnpike,Bellerose,NY,11426,$614.00,,NO
2022,Siren Protectors of the Rainforest,"90 Monroe Street, Brooklyn, NY, 11216",90 Monroe Street,Brooklyn,NY,11216,$613.00,,NO
2023,Global Support Services,"90 Waterbury Street, Brooklyn, NY, 11206",90 Waterbury Street,Brooklyn,NY,11206,$612.00,1,NO
2022,Patina Cafe,"990 Washington Avenue, Brooklyn, NY, 11225",990 Washington Avenue,Brooklyn,NY,11225,$612.00,1,NO
2022,All Metro,"80 Broad Street, New York, NY, 10004",80 Broad Street,New York,NY,10004,$611.00,3,NO
2022,Advanced Medical Staffing Inc,"845 3rd Avenue, New York, NY, 10022",845 3rd Avenue,New York,NY,10022,$610.00,1,NO
